Address_ID,Street,City,State,Zipcode,Created_On,Modified_On
1,26347 Troy Place,San Diego,California,92110,11/24/24,12/23/02
2,8 Sutherland Place,Montgomery,Alabama,36114,8/4/01,12/21/02
3,02211 South Trail,Reading,Pennsylvania,19605,4/12/20,1/8/01
4,551 Huxley Trail,Fort Lauderdale,Florida,33336,7/18/23,12/17/16
5,16 Mifflin Way,New Orleans,Louisiana,70179,10/30/11,8/10/18
6,63 Union Drive,Youngstown,Ohio,44555,10/18/05,5/6/18
7,150 Northland Parkway,Boston,Massachusetts,2104,12/20/24,8/31/07
8,30025 Hoffman Street,New York City,New York,10009,12/17/21,11/26/17
9,508 Rowland Hill,Duluth,Georgia,30195,11/2/22,4/13/23
10,55 Oxford Hill,Orange,California,92668,11/8/24,1/9/09
11,10 Dovetail Crossing,Toledo,Ohio,43635,5/13/11,2/7/11
12,41 4th Lane,Kansas City,Missouri,64179,8/11/00,12/21/04
13,579 Schiller Avenue,New York City,New York,10019,9/13/17,3/13/08
14,78654 2nd Terrace,Seattle,Washington,98158,10/27/02,10/28/07
15,16470 Continental Center,Phoenix,Arizona,85077,9/14/07,4/25/07
16,2641 Pepper Wood Terrace,Shreveport,Louisiana,71166,7/4/13,8/9/09
17,121 Fisk Trail,Boulder,Colorado,80328,2/15/05,11/27/24
18,4450 Orin Point,Jamaica,New York,11431,12/22/04,10/16/00
19,498 Sunfield Lane,New Haven,Connecticut,6510,8/11/21,12/22/20
20,149 Monument Circle,Washington,District of Columbia,20525,7/1/11,1/25/01
21,8 Moose Avenue,Erie,Pennsylvania,16510,11/2/08,2/6/02
22,3482 Barby Pass,Huntington,West Virginia,25711,10/10/13,10/10/02
23,6 Oak Avenue,White Plains,New York,10633,8/13/10,10/24/05
24,1967 Mcguire Place,Syracuse,New York,13224,7/7/02,4/7/06
25,068 Jay Avenue,Saint Petersburg,Florida,33715,3/31/14,9/23/08
26,71152 Tomscot Hill,Prescott,Arizona,86305,12/25/10,10/26/12
27,12 Cambridge Place,Washington,District of Columbia,20520,5/17/11,6/16/22
28,09 Westend Avenue,Dallas,Texas,75372,10/21/17,5/9/10
29,24 Derek Hill,Fort Worth,Texas,76198,11/18/15,7/23/13
30,50852 Sunbrook Road,Alexandria,Virginia,22301,7/12/20,5/11/17
31,98917 Sommers Hill,Annapolis,Maryland,21405,1/6/14,4/24/12
32,9 Hanover Park,Shawnee Mission,Kansas,66220,10/30/06,5/17/22
33,24076 Rockefeller Court,Cincinnati,Ohio,45203,1/16/08,5/13/03
34,2 1st Pass,Houston,Texas,77035,4/30/17,1/15/24
35,47 Norway Maple Avenue,Saint Paul,Minnesota,55188,4/25/06,1/6/21
36,777 Walton Trail,Bronx,New York,10464,6/22/17,7/9/24
37,2 Valley Edge Pass,Richmond,Virginia,23228,9/29/14,2/13/02
38,80371 Londonderry Crossing,Las Vegas,Nevada,89105,2/1/05,5/30/00
39,9228 Melody Crossing,Orlando,Florida,32891,3/23/06,5/22/09
40,11560 Arrowood Terrace,Louisville,Kentucky,40220,5/8/17,1/22/25
41,23587 Glendale Drive,Miami,Florida,33164,1/31/08,12/29/15
42,91 Mosinee Junction,Elmira,New York,14905,5/19/16,9/14/15
43,9402 Cordelia Circle,Mobile,Alabama,36605,11/4/12,3/28/13
44,5 Mccormick Point,Oklahoma City,Oklahoma,73104,1/22/01,9/9/05
45,9 Mcbride Avenue,Carol Stream,Illinois,60158,12/9/11,9/16/10
46,2 Independence Park,Detroit,Michigan,48232,10/28/11,8/30/09
47,29 Dapin Hill,Phoenix,Arizona,85035,9/19/24,8/2/12
48,61 Dwight Center,Visalia,California,93291,11/10/03,3/26/17
49,790 Nova Park,Madison,Wisconsin,53785,6/2/01,12/21/05
50,55830 Westend Pass,Savannah,Georgia,31405,10/8/10,6/12/16
51,299 West Street,El Paso,Texas,88569,9/17/08,4/8/07
52,141 Hintze Parkway,Austin,Texas,78721,3/7/19,12/6/09
53,89351 Dorton Crossing,London,Kentucky,40745,6/8/04,8/20/15
54,20266 Lakewood Gardens Park,Kansas City,Missouri,64179,4/17/23,2/14/06
55,4 Messerschmidt Point,Charlottesville,Virginia,22908,10/21/19,9/20/10
56,6 Declaration Way,Fort Collins,Colorado,80525,4/9/10,11/17/20
57,16975 Chive Terrace,Houston,Texas,77090,6/22/18,12/5/07
58,6 Dunning Lane,Amarillo,Texas,79105,4/17/11,9/9/14
59,06 Northfield Place,Phoenix,Arizona,85005,11/11/22,9/10/22
60,7589 Garrison Court,Long Beach,California,90831,7/10/02,5/15/21
61,0 Blue Bill Park Road,Pasadena,Texas,77505,7/15/20,3/21/05
62,0 Arkansas Junction,Denver,Colorado,80262,6/24/12,4/28/08
63,75 Spaight Road,Washington,District of Columbia,20442,4/18/22,8/16/13
64,89 Lotheville Pass,Florence,South Carolina,29505,6/24/02,11/17/24
65,46356 Sutherland Avenue,Toledo,Ohio,43615,2/25/21,3/27/01
66,4 Hoard Street,Saint Louis,Missouri,63180,2/23/22,5/29/03
67,95 Nobel Alley,Flint,Michigan,48555,5/3/01,8/3/03
